# blastp
# Iteration: 0
# Query: KAE8371401.1 trypsin-like cysteine/serine peptidase domain-containing protein [Aspergillus bertholletius]
# RID: 7SXE6CFV014
# Database: nr_v5
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 716 hits found
KAE8371401.1	KAE8371401.1	100.000	253	0	0	1	253	1	253	0.0	516	100.00
KAE8371401.1	XP_031924425.1	71.255	247	71	0	1	247	1	247	1.49e-128	370	82.19
KAE8371401.1	XP_031940570.1	66.397	247	83	0	1	247	1	247	4.24e-118	344	79.35
KAE8371401.1	KAB8261773.1	65.992	247	84	0	1	247	1	247	3.95e-117	342	78.95
KAE8371401.1	XP_022392557.1	64.372	247	69	1	1	247	1	228	2.95e-110	323	75.30
KAE8371401.1	OQD81666.1	61.694	248	95	0	1	248	1	248	7.43e-105	310	73.79
KAE8371401.1	GES63448.1	39.301	229	135	3	19	247	15	239	7.16e-51	173	58.08
KAE8371401.1	XP_001214927.1	39.301	229	135	3	19	247	15	239	1.70e-50	172	58.52
KAE8371401.1	OQD86157.1	38.596	228	132	3	17	236	44	271	2.66e-43	155	55.70
KAE8371401.1	XP_002375911.1	39.130	230	129	5	22	249	18	238	2.87e-42	150	55.22
KAE8371401.1	OQD72420.1	40.000	230	127	5	22	249	18	238	4.01e-42	150	56.52
KAE8371401.1	ADY16698.1	35.537	242	151	4	8	247	26	264	8.91e-42	150	55.79
KAE8371401.1	RAQ74884.1	38.696	230	130	5	22	249	18	238	2.15e-41	148	54.78
KAE8371401.1	XP_014534992.1	36.797	231	141	4	19	247	20	247	5.46e-41	148	56.28
KAE8371401.1	KAB8271048.1	38.976	254	143	8	1	248	1	248	6.01e-41	147	55.51
KAE8371401.1	KAE8331507.1	36.782	261	142	8	1	248	1	251	1.72e-39	144	51.72
KAE8371401.1	XP_022493698.1	35.622	233	145	4	17	247	18	247	3.40e-39	143	55.36
KAE8371401.1	OQD96670.1	36.653	251	144	6	1	249	1	238	7.25e-39	142	53.39
KAE8371401.1	KAF3006058.1	38.350	206	114	4	23	220	31	231	7.83e-36	134	54.85
KAE8371401.1	OAL44087.1	36.170	235	137	5	20	249	33	259	6.53e-35	132	54.04
KAE8371401.1	XP_022400328.1	39.720	214	106	6	39	247	1	196	1.56e-34	129	54.21
KAE8371401.1	OAL00354.1	34.632	231	139	4	24	249	37	260	8.35e-34	129	53.68
KAE8371401.1	KAF2998588.1	35.217	230	137	4	24	248	27	249	1.17e-33	129	53.04
KAE8371401.1	OSS47322.1	34.524	252	143	6	13	249	7	251	2.82e-33	128	52.38
KAE8371401.1	KAF2662081.1	35.102	245	142	6	1	236	3	239	7.11e-33	127	51.43
KAE8371401.1	KFY04242.1	34.599	237	148	5	15	247	14	247	5.14e-32	124	54.01
KAE8371401.1	XP_028511127.1	34.632	231	139	5	24	249	42	265	9.27e-32	124	53.68
KAE8371401.1	KAF2847525.1	33.913	230	140	4	24	248	40	262	9.43e-32	124	51.74
KAE8371401.1	KAF1957862.1	36.058	208	124	3	24	226	29	232	1.12e-31	124	52.88
KAE8371401.1	RYN64322.1	34.632	231	139	5	24	249	42	265	1.12e-31	124	53.68
KAE8371401.1	XP_018386207.1	34.632	231	139	5	24	249	42	265	1.15e-31	124	53.68
KAE8371401.1	RII05464.1	34.632	231	139	5	24	249	42	265	1.17e-31	124	53.68
KAE8371401.1	KAF2119062.1	35.498	231	135	5	24	249	30	251	1.31e-31	123	51.95
KAE8371401.1	XP_659970.1	35.443	237	134	6	22	250	21	246	1.54e-31	123	48.95
KAE8371401.1	XP_026603610.1	34.894	235	134	7	24	250	166	389	2.44e-31	126	51.49
KAE8371401.1	OSS52177.1	36.893	206	117	4	21	218	30	230	2.48e-31	123	53.88
